886,1
887,0
888,1
889,1
890,0
891,1
892,0
893,1
894,1
895,0
896,0
897,1
898,0
899,1
900,1
901,0
902,1
903,0
904,1
905,1
906,0
907,1
908,0
909,1
910,1
911,0
912,0
913,1
914,1
915,1
916,1
917,0
918,0
919,0
920,0
921,1
922,1
923,1
924,0
925,1
926,0
927,1
928,0
929,1
930,1
931,1
932,0
933,0
934,1
935,0
936,1
937,0
938,1
939,1
940,1
941,0
942,0
943,0
944,1
945,1
946,0
947,0
948,0
949,1
950,0
951,0
952,1
953,1
954,1
955,1
956,1
957,0
958,1
959,1
960,0
961,0
962,1
963,1
964,1
965,1
966,0
967,0
968,1
969,1
970,0
971,1
972,0
973,0
974,1
975,0
976,1
977,1
978,0
979,0
980,0
981,0
982,0
983,1
984,0
985,0
986,1
987,1
988,1
989,0
990,1
991,1
992,0
993,1
994,1
995,1
996,0
997,1
998,1
999,0
1000,1
1001,0
1002,1
1003,1
1004,1
1005,1
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,1
1013,0
1014,1
1015,0
1016,0
1017,1
1018,1
1019,0
1020,0
1021,1
1022,0
1023,1
1024,0
1025,1
1026,1
1027,1
1028,1
1029,1
1030,0
1031,1
1032,0
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,0
1041,1
1042,1
1043,1
1044,0
1045,0
1046,0
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,0
1054,0
1055,1
1056,0
1057,0
1058,0
1059,1
1060,1
1061,1
1062,0
1063,0
1064,1
1065,1
1066,0
1067,1
1068,0
1069,1
1070,1
1071,1
1072,1
1073,0
1074,0
1075,1
1076,0
1077,1
1078,0
1079,1
1080,1
1081,1
1082,0
1083,0
1084,1
1085,0
1086,0
1087,0
1088,0
1089,1
1090,1
1091,0
1092,1
1093,1
1094,0
1095,1
1096,1
1097,0
1098,0
1099,1
1100,1
1101,1
1102,0
1103,1
1104,0
1105,1
1106,0
1107,0
1108,0
1109,1
1110,1
1111,1
1112,0
1113,0
1114,0
1115,1
1116,0
1117,1
1118,0
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,0
1130,0
1131,1
1132,1
1133,1
1134,0
1135,1
1136,0
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,0
1148,1
1149,1
1150,1
1151,1
1152,0
1153,0
1154,1
1155,0
1156,1
1157,0
1158,1
1159,1
1160,1
1161,0
1162,1
1163,0
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,0
1174,0
1175,1
1176,1
1177,1
1178,0
1179,0
1180,1
